time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404294775.11000	        0.22000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.66000	        0.00000	       -2.73000	       -4.00000	       -9.80000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.69000	       -4.00000
1404294775.13000	        0.22000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.66000	        0.00000	       -2.73000	       -4.00000	       -9.80000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.60000	       -4.00000
1404294775.15000	        0.22000	        0.00000	        2.42000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.07000	        2.00000	        3.47000	        4.00000	       -0.66000	        0.00000	       -2.64000	       -4.00000	       -9.80000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.52000	       -4.00000
1404294775.17000	        0.22000	        0.00000	        2.42000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.64000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.56000	        4.00000	       -0.75000	        0.00000	       -2.64000	       -4.00000	       -9.71000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.52000	       -4.00000
1404294775.19000	        0.22000	        0.00000	        2.42000	        2.00000	        0.22000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.07000	        2.00000	        3.47000	        4.00000	       -0.75000	        0.00000	       -2.64000	       -4.00000	       -9.71000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.43000	       -4.00000
1404294775.21000	        0.22000	        0.00000	        2.42000	        2.00000	        0.22000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.07000	        2.00000	        3.47000	        4.00000	       -0.75000	        0.00000	       -2.64000	       -4.00000	       -9.71000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.43000	       -4.00000
1404294775.23000	        0.22000	        0.00000	        2.42000	        2.00000	        0.22000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.75000	        0.00000	       -2.64000	       -4.00000	       -9.80000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.34000	       -4.00000
1404294775.25000	        0.22000	        0.00000	        2.42000	        2.00000	        0.22000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.84000	        0.00000	       -2.64000	       -4.00000	       -9.71000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.34000	       -4.00000
1404294775.27000	        0.22000	        0.00000	        2.42000	        2.00000	        0.31000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.56000	        4.00000	       -0.84000	        0.00000	       -2.64000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.25000	       -4.00000
1404294775.29000	        0.22000	        0.00000	        2.42000	        2.00000	        0.22000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.84000	        0.00000	       -2.55000	       -4.00000	       -9.71000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.25000	       -4.00000
1404294775.31000	        0.22000	        0.00000	        2.33000	        2.00000	        0.31000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.07000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.55000	       -4.00000	       -9.71000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.25000	       -4.00000
1404294775.33000	        0.31000	        0.00000	        2.33000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.55000	       -4.00000	       -9.80000	      -10.00000	       -2.15000	       -2.00000	        3.91000	        4.00000	       -0.40000	        0.00000	       -3.25000	       -4.00000
1404294775.35000	        0.40000	        0.00000	        2.42000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.84000	        0.00000	       -2.46000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.16000	       -4.00000
1404294775.37000	        0.40000	        0.00000	        2.42000	        2.00000	        0.13000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.46000	       -4.00000	       -9.71000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.16000	       -4.00000
1404294775.39000	        0.40000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	        0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.46000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.16000	       -4.00000
1404294775.41000	        0.40000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	        0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.46000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.16000	       -4.00000
1404294775.43000	        0.40000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.84000	        0.00000	       -2.37000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.16000	       -4.00000
1404294775.45000	        0.40000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.46000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.08000	       -4.00000
1404294775.48000	        0.40000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.37000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.08000	       -4.00000
1404294775.50000	        0.40000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.37000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.08000	       -4.00000
1404294775.52000	        0.40000	        0.00000	        2.42000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	       10.00000	       10.00000	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.37000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.08000	       -4.00000
1404294775.54000	        0.40000	        0.00000	        2.42000	       -0.01411	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	        9.88222	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.37000	       -4.00000	       -9.80000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.08000	       -4.00000
1404294775.57000	        0.40000	        0.00000	        2.42000	       -0.01411	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.00000	        9.88222	        1.98000	        2.00000	        3.47000	        4.00000	       -0.92000	        0.00000	       -2.37000	       -4.00000	       -9.80000	       -9.91777	       -2.07000	       -2.00000	        3.91000	        4.00000	       -0.48000	        0.00000	       -3.08000	       -4.00000
